rank,term,pval,zscore,combined_score,genes,adj_pval,old_pval,old_adj_pval,group
139,Pathways of neurodegeneration,0.21207046265317048,1.2801434334379203,1.9852934031532294,"['GABARAPL1', 'FZD5', 'BDNF', 'FZD7', 'DNAH5', 'EIF2AK3', 'CACNA1B', 'DKK2', 'ERN1', 'CASP7', 'CASP8', 'CAT', 'BCL2', 'FAS', 'ATF4']",0.40583268392621114,0,0,downregulated
140,Nicotinate and nicotinamide metabolism,0.21773131350006625,2.3691128148959475,3.611697047356807,"['AOX1', 'ENPP1']",0.41368949565012586,0,0,downregulated
141,Sulfur metabolism,0.22371474296156477,4.34001336005344,6.498664428104614,['ETHE1'],0.4220434157998314,0,0,downregulated
142,Tyrosine metabolism,0.22698728149273847,2.2993149066855656,3.4095650726373203,"['ADH1B', 'AOX1']",0.4252015273032988,0,0,downregulated
143,Choline metabolism in cancer,0.2299929805556841,1.6648936170212767,2.4469049538423118,"['DGKD', 'EIF4EBP1', 'FOS', 'EGFR']",0.4278191106839998,0,0,downregulated
144,Dopaminergic synapse,0.23533006344596197,1.5408414857233754,2.22923741956035,"['CREB3', 'CREB3L1', 'CACNA1B', 'FOS', 'ATF4']",0.4347069227543464,0,0,downregulated
145,cGMP-PKG signaling pathway,0.24047959440459707,1.4589232278019464,2.0791407281588112,"['CREB3', 'EDNRB', 'ADCY9', 'CREB3L1', 'ATP1B3', 'ATF4']",0.44115566973532977,0,0,downregulated
146,Renin secretion,0.24830518328238543,1.777391622462045,2.4760784244875924,"['ADCYAP1', 'EDN3', 'AGT']",0.45239163529530496,0,0,downregulated
147,Central carbon metabolism in cancer,0.2550357246055415,1.7507732964953902,2.3921719774421866,"['ERBB2', 'FGFR3', 'EGFR']",0.4583750185477976,0,0,downregulated
148,RIG-I-like receptor signaling pathway,0.2550357246055415,1.7507732964953902,2.3921719774421866,"['CXCL10', 'CXCL8', 'CASP8']",0.4583750185477976,0,0,downregulated
149,Yersinia infection,0.2587049099112584,1.4820936639118458,2.003890246310139,"['CXCL8', 'ARHGEF28', 'ELMO1', 'CCL2', 'FOS']",0.46184903380130693,0,0,downregulated
150,"Glycine, serine and threonine metabolism",0.2642113633345378,2.056859015007398,2.737691438099069,"['CBS', 'CHDH']",0.46853481764658045,0,0,downregulated
151,Measles,0.26820709009249616,1.4598221016131463,1.9211198605162279,"['CASP8', 'EIF2AK3', 'BCL2', 'FAS', 'FOS']",0.47247076797750975,0,0,downregulated
152,Ferroptosis,0.2735343283108339,2.004016064257028,2.597862437446741,"['ACSL1', 'CP']",0.47868507454395937,0,0,downregulated
153,Glucagon signaling pathway,0.27927037928691545,1.5187128092702786,1.9372318867339848,"['CREB3', 'CREB3L1', 'FOXO1', 'ATF4']",0.48516235992192125,0,0,downregulated
154,Human immunodeficiency virus 1 infection,0.2808834715337439,1.336417157275021,1.697003070704339,"['BST2', 'CASP8', 'AP1S2', 'BCL2', 'CXCR4', 'FAS', 'FOS']",0.48516235992192125,0,0,downregulated
155,Drug metabolism,0.2848542905983054,1.5040322580645162,1.888729854679192,"['ADH1B', 'AOX1', 'FMO1', 'FMO2']",0.48571308525095663,0,0,downregulated
156,Insulin resistance,0.2848542905983054,1.5040322580645162,1.888729854679192,"['CREB3', 'CREB3L1', 'FOXO1', 'AGT']",0.48571308525095663,0,0,downregulated
157,Arrhythmogenic right ventricular cardiomyopathy,0.30270573541973567,1.5845886127576267,1.8935740678858282,"['GJA1', 'CACNA2D2', 'DSG2']",0.512864494405412,0,0,downregulated
