gene,log2FC,padj
ADK,0.02916218253968328,0.8649095320135705
ADM,-3.979569682539684,3.3997477458985585e-07
ADNP,0.5688487301587308,9.222414822496422e-06
ADNP2,-0.1374876190476204,0.25385514579842855
ADO,0.6253079365079364,0.0003807516507466417
ADORA1,0.11796015873015842,0.005029819296974769
ADORA2A /// SPECC1L-ADORA2A,-0.3959705555555555,0.0834499437345172
ADORA2B,-0.16920380952380976,0.43558768067451564
ADORA3,0.5641279365079366,0.07526742000312299
ADPGK,-0.29672031746031813,0.00026385815751913376
ADPRH,0.11996753968253948,0.297688229575134
ADPRHL1,0.3505882142857142,0.1913063537730883
ADPRHL2,0.7149617460317446,0.005559404967019404
ADPRM,0.5224313095238093,7.691544008880414e-05
ADRA1A,0.05333373015873066,0.5797881210140167
ADRA2A,2.684527301587302,0.018948465420280957
ADRA2B,0.011680396825397121,0.7838053241112533
ADRA2C,-0.07240674603174746,0.7810308565154382
ADRB1,-0.33468992063492076,0.16196167329336122
ADRB2,0.13590674603174646,0.4749888633820472
ADRBK1,0.04841833333333323,0.7415930903298678
ADRBK2,0.2646280687830682,0.09020437366515408
ADRM1,-0.27326142857142965,0.1778330838158482
ADSL,-0.19654293650793608,0.1546201961853785
ADSS,0.2793978571428575,0.09094135998578087
ADSSL1,-1.899201428571427,5.600236368715212e-06
ADTRP,0.18352126984127048,0.03733529174881634
AEBP1,-3.863286666666666,5.811950423850035e-07
AEBP2,-0.23174845238095187,0.02967520002841976
AEN,-0.03528246031746107,0.8758374526634997
AES,1.0026514285714292,2.3037045244590806e-05
AF001548.5,0.0754387301587307,0.029433880636922392
AF007147,-1.9891526190476192,0.000983261650588766
AF070581,0.5480786507936504,0.015830694154138677
AF075036 /// OR7D2,0.11495154761904791,0.16386471881177292
AF086126 /// C16orf52,-0.716761428571429,0.000646689060721391
AF086154 /// RP11-432J24.5,0.027152460317460214,0.5740865554330401
AF086219 /// CTD-2647L4.1,0.11906484126984118,0.06732725328538527
AF090939,-0.09858134920634942,0.741843837407285
AF131215.3 /// C8orf15,-0.5078146825396814,0.0504059703314837
AF131215.4,-1.0747477777777776,0.009239880485570432
AF131215.8,-0.6744380158730165,0.05721146466839907
AF198444,-0.7834244444444454,0.15275270937165042
AF289551,-1.3244654761904768,0.00025911133969529763
AF520793,0.0036565079365065145,0.9901256741582007
AFAP1,-0.5122514285714286,0.02692648130939667
AFAP1-AS1,0.016413571428571583,0.6293520225808423
AFAP1L1,-0.03577829365079399,0.8242744824304306
AFAP1L2,-0.0046797619047618255,0.9634904357640188
AFF1,-0.3591957936507937,0.0001415092532947375
AFF2,-2.109210317460318,3.4322820002125133e-09
AFF3,0.46903781746031736,0.003674778404321994
AFF4,-0.11547428571428675,0.42944172852015305
AFG3L1P,-0.3287993650793659,0.1183154386191511
AFG3L2,0.16857433862433968,0.034894236506209285
AFP,0.25456896825396846,0.5383886339926702
AFTPH,0.05920107142856956,0.44209467403775676
AGA,-0.42368499999999987,0.13913729822944854
AGAP1,-0.41111162698412596,0.03977023001501242
AGAP10 /// AGAP11 /// AGAP4 /// AGAP5 /// AGAP9 /// BMS1P5 /// CTGLF12P /// LOC101060581,-0.24489571428571466,0.333433661461732
AGAP11 /// AGAP4 /// AGAP6 /// AGAP7P /// CTGLF12P /// LOC101060581,-0.16219166666666673,0.5079114025299448
AGAP2,0.11739285714285641,0.3314475479408302
AGAP2-AS1,-1.337444365079365,0.009554489494731888
AGAP3,-0.6022665079365073,0.009581135333139718
AGAP4,-0.5208234920634922,0.2191179842284704
AGAP6,0.6847484523809522,0.012716133984969406
AGAP6 /// AGAP9 /// BMS1P5,0.39631611111110976,0.03075111185703041
AGAP9,-0.10044158730158781,0.5563860145556221
AGBL1,0.7354807936507943,0.018921436835387946
AGBL2,-0.09506111111110993,0.2947059136330896
AGBL3,0.12784857142857264,0.3646401391959105
AGBL4,0.27748662698412696,0.06941122832947974
AGBL5,-0.3762734920634925,0.024760934160912802
AGER,0.014598015873015902,0.8003127442579937
AGFG1,0.4473982738095241,0.00011658580346728108
AGFG2,0.15160093253968254,0.2583288693538368
AGGF1,0.0003797817460320374,0.9970577302855824
AGK,0.8050273809523816,1.316583382988158e-10
AGL,0.8782030952380957,2.9313362896076418e-05
AGMAT,-0.04666560846560808,0.45724442266788995
AGO1,0.5571115476190469,2.167257942165184e-05
AGO2,-0.6837505555555525,0.0011664676214939982
AGO2 /// CASC7 /// CASC7,-0.30491730158730324,0.07171170365137736
AGO2 /// CASC7 /// CASC7 /// DQ574852,-0.37161103174603216,0.01972093524936612
AGO3,-0.7176911309523799,2.2512458870833743e-05
AGO4,0.19653187830687902,0.05028505818739711
AGPAT1,0.418162539682541,0.018358142529259915
AGPAT2,-0.6106454761904758,0.019261681246855757
AGPAT3,-0.28317526984127017,0.058454910937338
AGPAT4,-0.5644091666666666,0.04691532637827595
AGPAT4-IT1,-0.6367080158730163,0.006739353738295553
AGPAT5,-0.3973390476190488,0.0026060877569387985
AGPAT6,-0.18525605820105806,0.13337664294376472
AGPAT9,1.4019343650793656,0.00019936676193843284
AGPS,0.8014399007936506,1.6106455078221757e-05
AGR2,-3.6673406746031754,0.00011018943268286645
AGR3,-4.420441825396826,0.0016665265171823232
AGRN,-0.2911989285714274,0.050356844537563575
AGT,-2.451133333333334,0.002402775155022719
AGTPBP1,0.997150396825397,2.7937173454910853e-06
AGTR1,-0.7193851587301592,7.692165534514925e-05
AGTRAP,-0.8040721693121693,0.007732987869258477
AHCTF1,0.36323186507936533,0.00028280441566189526
AHCTF1 /// AHCTF1P1,0.4181826984126982,0.05894074281814559
AHCY,-0.906647619047618,1.6336174120994974e-05
AHCYL1,-0.8223505952380954,7.765074323934626e-07
AHCYL2,1.2356643253968258,0.00026800761693934185
AHDC1,0.22528277777777728,0.3795431461223599
AHI1,-0.1914693968253971,0.2572135126223784
AHNAK,-1.8282961904761912,7.340558848831548e-05
AHNAK2,-1.2631696031746031,0.003364495676493479
AHR,-0.6455656349206338,0.04375682846842294
AHRR,-0.710673968253968,0.053170478097250035
AHSA1,-0.012848968253971194,0.9392257424588617
AHSA2,-0.022693214285713914,0.9186634522972771
AHSG,0.09254833333333368,0.16853086154438174
AHSP,0.16792714285714272,0.09393323727883716
AIDA,-0.42578503968253756,0.001842052292349828
AIF1,-0.13080724867724758,0.7940172282617047
AIF1L,-1.8265646031746021,0.0012742876147944302
AIFM1,0.17547809523809388,0.2857895395277033
AIFM2,0.23964821428571437,0.1305585874442642
AIFM3,-0.4780828571428577,0.0390238691220032
AIG1,0.4081882010582003,0.00016631797084209313
AIM1,2.4179006349206347,0.005175510457832319
AIM1L,0.2303589682539684,0.07212365613037737
AIM2,1.2673761904761918,5.8174864206286796e-05
AIMP1,0.5645969047619044,0.000137728772452208
AIMP2,0.23415497354497283,0.025663551839876807
AIP,0.9279506746031743,0.00012924931765247652
AIPL1,0.5777993650793651,0.338807333273674
AJ011981 /// DPY19L1,0.06654277777777784,0.29757637927926994
AJ420595 /// GOPC,-0.182454285714285,0.6084114709994027
AJAP1,2.8165524338624337,6.740774347556392e-05
AJUBA,-0.12568708333333367,0.1920412958918479
AK000798,-0.6169957936507933,0.00019914775107629761
AK021537,0.014778730158730102,0.8832721284821617
AK021804,-0.008416428571429435,0.9827712556754592
AK021933,-0.5965324603174604,0.0007875917531973742
AK021977,-4.552607063492065,1.263560313446329e-08
AK022030 /// TROVE2,0.28062936507936165,0.04476934345421813
AK022793 /// BC043213 /// CTB-175P5.4,0.07443396825396853,0.2641046652093849
AK023627 /// TCTE3,-0.0035556349206364857,0.9907624990776756
AK024936,0.12201031746031843,0.044220412288752266
AK025117 /// GPATCH2L,0.1754523809523807,0.16846227003317119
AK025288,-0.13149317460317533,0.7896745314692818
AK025975 /// RP1-74M1.3,0.2601429365079362,0.03310757691874669
AK026714 /// PELI1,-3.007077777777777,5.480589626011507e-08
AK026905,0.03775436507936547,0.6043135669777323
AK054988 /// TPTE2P1 /// TPTE2P1,0.210162460317461,0.15576782575552603
AK055910 /// ZBTB1,0.19907650793650777,0.2202720754873955
AK055981,0.4402178571428572,0.14668290516108398
AK055981 /// RP11-617F23.1,0.3470993650793641,0.12799508177192992
AK056098,-0.13440253968253946,0.08437834177174525
AK056982,0.03630079365079375,0.4464173087784949
AK057657 /// RP11-473I1.9,0.12614928571428585,0.3683669006721527
AK057978 /// MKLN1,-0.22936095238095167,0.46745922376948135
AK074476,0.40030503968253983,0.006101614670407461
AK090844,-0.6108914285714278,0.03211315741819589
AK091028 /// GMDS-AS1,0.13444619047619044,0.5606133862504208
AK091729,0.29114031746031754,0.13929683367929396
AK093301 /// RP11-862G15.1,0.04109166666666608,0.757605196441683
AK093356 /// RP11-10L12.4,0.09514531746031718,0.6940805433603741
AK093370 /// CTD-3046C4.1,0.007249603174603436,0.9410225872126463
AK094644,1.394729444444443,7.607162685658263e-05
AK094733 /// RP11-114G22.1,-0.8337166666666662,0.0021025297004902688
AK096592 /// YLPM1,0.6526641269841269,0.07245518971966113
AK096803 /// RP11-395B7.2,0.2203049206349208,0.2495107559175212
AK097119 /// RP11-73M18.6,-0.3262674603174607,0.27186654461460097
AK097453,0.09346896825396822,0.2856590462575701
AK098263,0.2676207142857141,0.10185173569987784
AK1,0.003376825396825822,0.988580656888831
